model,defense_1,defense_2,success_rate_1,success_rate_2,trials_1,trials_2,chi2_statistic,p_value,significant_at_0.05
llama2-7b,delimiter_attack,homoglyph,1.0,0.0,10,14,20.06204081632653,7.497001612880616e-06,Yes
llama2-7b,delimiter_attack,multilingual,1.0,0.8461538461538461,10,13,0.30434981684981693,0.581168239468304,No
llama2-7b,delimiter_attack,payload_split,1.0,0.5,10,16,5.065711805555555,0.024403681472997766,Yes
llama2-7b,delimiter_attack,plain,1.0,1.0,10,15,,1.0,No
llama2-7b,delimiter_attack,role_confusion,1.0,1.0,10,15,,1.0,No
llama2-7b,delimiter_attack,urgency_manipulation,1.0,0.2,10,10,10.208333333333332,0.001398074641211553,Yes
llama2-7b,delimiter_attack,zwj,1.0,0.5714285714285714,10,7,2.672874149659864,0.10207154247354305,No
llama2-7b,homoglyph,multilingual,0.0,0.8461538461538461,14,13,16.63919674075924,4.520705249093524e-05,Yes
llama2-7b,homoglyph,payload_split,0.0,0.5,14,16,7.159851866883116,0.007455335349087995,Yes
llama2-7b,homoglyph,plain,0.0,1.0,14,15,25.133497732426303,5.34954762954728e-07,Yes
llama2-7b,homoglyph,role_confusion,0.0,1.0,14,15,25.133497732426303,5.34954762954728e-07,Yes
llama2-7b,homoglyph,urgency_manipulation,0.0,0.2,14,10,0.9974025974025973,0.31793982054069475,No
llama2-7b,homoglyph,zwj,0.0,0.5714285714285714,14,7,6.523897058823531,0.010643453084271825,Yes
llama2-7b,multilingual,payload_split,0.8461538461538461,0.5,13,16,2.4261449898785417,0.11932602535864249,No
llama2-7b,multilingual,plain,0.8461538461538461,1.0,13,15,0.7069033530571991,0.4004737443435832,No
llama2-7b,multilingual,role_confusion,0.8461538461538461,1.0,13,15,0.7069033530571991,0.4004737443435832,No
llama2-7b,multilingual,urgency_manipulation,0.8461538461538461,0.2,13,10,7.153476331360947,0.007481882737329177,Yes
llama2-7b,multilingual,zwj,0.8461538461538461,0.5714285714285714,13,7,0.6593406593406594,0.41679281184762673,No
llama2-7b,payload_split,plain,0.5,1.0,16,15,7.665936367753623,0.005627304907732363,Yes
llama2-7b,payload_split,role_confusion,0.5,1.0,16,15,7.665936367753623,0.005627304907732363,Yes
llama2-7b,payload_split,urgency_manipulation,0.5,0.2,16,10,1.244140625,0.26467454409096286,No
llama2-7b,payload_split,zwj,0.5,0.5714285714285714,16,7,0.0,1.0,No
llama2-7b,plain,role_confusion,1.0,1.0,15,15,,1.0,No
llama2-7b,plain,urgency_manipulation,1.0,0.2,15,10,14.162071078431373,0.00016771755657500934,Yes
llama2-7b,plain,zwj,1.0,0.5714285714285714,15,7,4.249289891395154,0.039266746184319704,Yes
llama2-7b,role_confusion,urgency_manipulation,1.0,0.2,15,10,14.162071078431373,0.00016771755657500934,Yes
llama2-7b,role_confusion,zwj,1.0,0.5714285714285714,15,7,4.249289891395154,0.039266746184319704,Yes
llama2-7b,urgency_manipulation,zwj,0.2,0.5714285714285714,10,7,1.126893939393939,0.2884388382205979,No
falcon-7b,delimiter_attack,homoglyph,0.1,0.0,10,14,0.029813664596273312,0.8629137039770258,No
falcon-7b,delimiter_attack,multilingual,0.1,0.0,10,13,0.018094405594405585,0.8929949968256904,No
falcon-7b,delimiter_attack,payload_split,0.1,0.0,10,16,0.058499999999999976,0.8088826536589362,No
falcon-7b,delimiter_attack,plain,0.1,0.13333333333333333,10,15,0.0,1.0,No
falcon-7b,delimiter_attack,role_confusion,0.1,0.0,10,15,0.04340277777777775,0.834968706358955,No
falcon-7b,delimiter_attack,urgency_manipulation,0.1,0.2,10,10,0.0,1.0,No
falcon-7b,delimiter_attack,zwj,0.1,0.0,10,7,0.0,1.0,No
falcon-7b,homoglyph,multilingual,0.0,0.0,14,13,,1.0,No
falcon-7b,homoglyph,payload_split,0.0,0.0,14,16,,1.0,No
falcon-7b,homoglyph,plain,0.0,0.13333333333333333,14,15,0.4660714285714284,0.4948000686874846,No
falcon-7b,homoglyph,role_confusion,0.0,0.0,14,15,,1.0,No
falcon-7b,homoglyph,urgency_manipulation,0.0,0.2,14,10,0.9974025974025973,0.31793982054069475,No
falcon-7b,homoglyph,zwj,0.0,0.0,14,7,,1.0,No
falcon-7b,multilingual,payload_split,0.0,0.0,13,16,,1.0,No
falcon-7b,multilingual,plain,0.0,0.13333333333333333,13,15,0.39763313609467466,0.5283141422980088,No
falcon-7b,multilingual,role_confusion,0.0,0.0,13,15,,1.0,No
falcon-7b,multilingual,urgency_manipulation,0.0,0.2,13,10,0.8856684981684981,0.3466538093429994,No
falcon-7b,multilingual,zwj,0.0,0.0,13,7,,1.0,No
falcon-7b,payload_split,plain,0.0,0.13333333333333333,16,15,0.6063038793103449,0.4361828686182355,No
falcon-7b,payload_split,role_confusion,0.0,0.0,16,15,,1.0,No
falcon-7b,payload_split,urgency_manipulation,0.0,0.2,16,10,1.2221354166666665,0.2689419824113939,No
falcon-7b,payload_split,zwj,0.0,0.0,16,7,,1.0,No
falcon-7b,plain,role_confusion,0.13333333333333333,0.0,15,15,0.5357142857142857,0.4642143127710313,No
falcon-7b,plain,urgency_manipulation,0.13333333333333333,0.2,15,10,0.0,1.0,No
falcon-7b,plain,zwj,0.13333333333333333,0.0,15,7,0.04714285714285718,0.8281116645427543,No
falcon-7b,role_confusion,urgency_manipulation,0.0,0.2,15,10,1.109601449275362,0.2921686010164532,No
falcon-7b,role_confusion,zwj,0.0,0.0,15,7,,1.0,No
falcon-7b,urgency_manipulation,zwj,0.2,0.0,10,7,0.24488095238095237,0.6207028473498084,No
